sample_id,source,dest,B_mbps,algo,mean_total_cost,std_total_cost,best_total_cost,worst_total_cost,mean_delay,std_delay,mean_rel_cost,std_rel_cost,mean_res_cost,std_res_cost,mean_path_len,std_path_len,mean_runtime_ms,std_runtime_ms
13,207,222,106,baseline,13.752674272359748,0.0,13.752674272359748,13.752674272359748,13.614801453619759,0.0,0.13276587682751395,0.0,0.005106941912474449,0.0,3,0.0,5.449358408804983,0.16781706835125776
13,207,222,106,ga,13.752674272359748,0.0,13.752674272359748,13.752674272359748,13.614801453619759,0.0,0.13276587682751395,0.0,0.005106941912474449,0.0,3,0.0,7.093216408975422,0.16955489628059697
13,207,222,106,sa,16.936787886668686,0.0,16.936787886668686,16.936787886668686,16.871581008966878,0.0,0.06400843090429438,0.0,0.0011984467975116584,0.0,2,0.0,0.8340252097696066,0.015074288939782084
14,194,206,263,baseline,13.09154505063037,0.0,13.09154505063037,13.09154505063037,13.013470871555288,0.0,0.06968681653137451,0.0,0.008387362543706863,0.0,3,0.0,2.941841585561633,0.026433355734010937
14,194,206,263,ga,13.09154505063037,0.0,13.09154505063037,13.09154505063037,13.013470871555288,0.0,0.06968681653137451,0.0,0.008387362543706863,0.0,3,0.0,7.133333396632224,0.10244240442399645
14,194,206,263,sa,15.3522161824697,0.0,15.3522161824697,15.3522161824697,15.272576338398249,0.0,0.07198795725092706,0.0,0.007651886820523445,0.0,2,0.0,0.8151169982738793,0.003303694611729512
15,178,108,448,baseline,12.443344546124,0.0,12.443344546124,12.443344546124,12.323306980778352,0.0,0.1162045046647912,0.0,0.0038330606808587376,0.0,3,0.0,4.249400377739221,0.034613884573310744
15,178,108,448,ga,12.443344546124,0.0,12.443344546124,12.443344546124,12.323306980778352,0.0,0.1162045046647912,0.0,0.0038330606808587376,0.0,3,0.0,6.613366189412773,0.09844568653404723
15,178,108,448,sa,17.82335428583165,0.0,17.82335428583165,17.82335428583165,17.71558875130012,0.0,0.09720780776554833,0.0,0.010557726765978763,0.0,3,0.0,4.391399992164224,0.014771910456351556
16,71,39,320,baseline,10.733151431128885,0.0,10.733151431128885,10.733151431128885,10.51728302859848,0.0,0.21173789378335384,0.0,0.00413050874704976,0.0,3,0.0,1.878591813147068,0.29526821796437736
16,71,39,320,ga,12.111054561926462,0.0,12.111054561926462,12.111054561926462,11.965291203587189,0.0,0.1400834141198206,0.0,0.005679944219454173,0.0,3,0.0,6.297966605052352,0.03826304125780641
16,71,39,320,sa,14.811618140450797,0.0,14.811618140450797,14.811618140450797,14.667821889584257,0.0,0.14131799162041278,0.0,0.002478259246126,0.0,3,0.0,3.067583392839879,0.024863831960271518
17,245,195,444,baseline,13.730401053419657,0.0,13.730401053419657,13.730401053419657,13.579598958800242,0.0,0.14000182743519304,0.0,0.010800267184222459,0.0,3,0.0,4.496075201313943,0.04177891087616401
17,245,195,444,ga,13.730401053419657,0.0,13.730401053419657,13.730401053419657,13.579598958800242,0.0,0.14000182743519304,0.0,0.010800267184222459,0.0,3,0.0,7.115816813893616,0.10844241513938374
17,245,195,444,sa,19.191915466969423,0.0,19.191915466969423,19.191915466969423,19.084741961117167,0.0,0.1018878809672303,0.0,0.00528562488502537,0.0,3,0.0,6.114808202255517,0.013619571212143277
18,26,23,489,baseline,13.639001264878889,0.0,13.639001264878889,13.639001264878889,13.571762712521437,0.0,0.05416337533116039,0.0,0.013075177026291587,0.0,3,0.0,5.1698500057682395,0.030052558247310325
18,26,23,489,ga,13.639001264878889,0.0,13.639001264878889,13.639001264878889,13.571762712521437,0.0,0.05416337533116039,0.0,0.013075177026291587,0.0,3,0.0,6.218066823203117,0.017709597410772864
18,26,23,489,sa,24.969675083103123,0.0,24.969675083103123,24.969675083103123,24.903414505103385,0.0,0.06390159891561392,0.0,0.0023589790841239246,0.0,3,0.0,2.977024798747152,0.023800989086416095
19,24,91,967,baseline,11.97019846031667,0.0,11.97019846031667,11.97019846031667,11.857172935883392,0.0,0.10940048112826582,0.0,0.003625043305012899,0.0,3,0.0,1.86645818175748,0.023660133479530367
19,24,91,967,ga,11.97019846031667,0.0,11.97019846031667,11.97019846031667,11.857172935883392,0.0,0.10940048112826582,0.0,0.003625043305012899,0.0,3,0.0,6.451608415227383,0.11408813633599317
19,24,91,967,sa,25.987331726038455,0.0,25.987331726038455,25.987331726038455,25.88212683005372,0.0,0.10175382918416327,0.0,0.0034510668005733403,0.0,3,0.0,4.444208613131195,0.018690429573285282
20,88,154,370,baseline,14.178811550280324,0.0,14.178811550280324,14.178811550280324,14.001094474741286,0.0,0.1752980774774254,0.0,0.0024189980616125006,0.0,3,0.0,4.75735820364207,0.06675879142069313
20,88,154,370,ga,14.178811550280324,0.0,14.178811550280324,14.178811550280324,14.001094474741286,0.0,0.1752980774774254,0.0,0.0024189980616125006,0.0,3,0.0,7.0573165896348655,0.06891336407964643
20,88,154,370,sa,14.178811550280324,0.0,14.178811550280324,14.178811550280324,14.001094474741286,0.0,0.1752980774774254,0.0,0.0024189980616125006,0.0,3,0.0,5.171333206817508,0.015671409368299
